id,nome,categoria,material,acabamento_iluminacao,unidade_venda,preco,prazo_dias,terceirizado,observacoes,
1,Placa PS 1mm,Placas,PVC 1mm,Adesivado,m2,150.00,2,nao,Uso interno - nao recomendado para fachada/externo,
2,Placa PS 2mm,Placas,PVC 2mm,Adesivado,m2,220.00,2,nao,Uso interno - nao recomendado para fachada/externo,
3,Adesivo,Adesivo,Vinil,Sem laminacao,m2,130.00,2,nao,Oferecer upgrade de laminacao fosca ou brilho,
4,Adesivo Recortado,Adesivo,Vinil,Recorte eletronico,m2,150.00,2,nao,Oferecer upgrade de laminacao fosca ou brilho,
5,Adesivo Laminado,Adesivo,Vinil,Laminacao fosca ou brilho,m2,180.00,3,nao,Ja inclui laminacao - melhora durabilidade e acabamento,
6,Banner,Lona,Lona,Madeira nas pontas - orientacao retrato/vertical,m2,100.00,3,nao,Confirmar com cliente: madeira = banner ou faixa; ilhos = lona,
7,Faixa,Lona,Lona,Madeira nas pontas - orientacao paisagem/horizontal,m2,100.00,3,nao,Confirmar com cliente: madeira = banner ou faixa; ilhos = lona,
8,Lona,Lona,Lona,Ilhos no contorno,m2,130.00,3,nao,Confirmar com cliente: madeira = banner ou faixa; ilhos = lona,
9,Placa de Acrilico,Placas,Acrilico,Corte ou gravacao a laser,m2,450.00,4,nao,Recomendado para fachada - boa durabilidade externa,
10,Placa de ACM,Placas,ACM,Adesivado,m2,680.00,5,nao,Recomendado para fachada - melhor durabilidade externa,
11,Placa de MDF,Placas,MDF,Adesivado,m2,220.00,3,nao,NAO recomendar para fachada/externo - estraga rapido exposto ao tempo,
12,Letra Caixa (generico),Placas,PVC expandido,Sem iluminacao,m2,1200.00,10,nao,Termo generico - ver variantes especificas de fachada abaixo,
13,Letra Caixa com Luz (generico),Placas,PVC expandido,Com iluminacao,m2,1800.00,20,nao,Termo generico - ver variantes especificas de fachada abaixo,
14,Cartao de Visita,Papelaria,Papel couche 300g,Impressao colorida,unidade,270.00,7,nao,Pacote de 1000 unidades,
15,Folder,Impressos,Papel (variavel),Dobrado,unidade,,7,sim,TERCEIRIZADO - preco = valor do fornecedor x 2.5. Tamanhos comuns: A4/A5/1-3 A4. Papeis comuns: couche brilho/fosco,reciclado
16,Impressao A4,Papelaria,Sulfite,Impressao simples,unidade,1.00,1,nao,,
17,Tag Redonda,Impressos,Papel/PVC,Recorte circular,unidade,220.00,7,nao,,
18,Bloco A5,Papelaria,Papel,Bloco colado,unidade,60.00,3,nao,,
19,Bloco A4,Papelaria,Papel,Bloco colado,unidade,80.00,3,nao,,
20,Display de Acrilico A5,Placas,Acrilico,Corte a laser,unidade,60.00,5,nao,,
21,Display de Acrilico A6,Placas,Acrilico,Corte a laser,unidade,45.00,5,nao,,
22,Fachada - Quadro Metalon com Lona,Fachada,Metalon + Lona,Sem iluminacao,m2,,SOB_CONSULTA,nao,Cobertura de area/quadro - sem iluminacao,
23,Fachada - Quadro Metalon com ACM,Fachada,Metalon + ACM,Sem iluminacao,m2,,SOB_CONSULTA,nao,Cobertura de area/quadro - sem iluminacao - mais durabilidade que lona,
24,Fachada - Letra Caixa PVC Backlight,Fachada,PVC expandido,Iluminacao indireta (afastada da parede),m2,,SOB_CONSULTA,nao,Efeito de luz vazando por tras - peca fica alguns cm afastada da parede,
25,Fachada - Letra Caixa PVC Sem Luz,Fachada,PVC expandido,Sem iluminacao,m2,,SOB_CONSULTA,nao,,
26,Fachada - Letra Caixa Inox Frontal,Fachada,Inox,Iluminacao frontal,m2,,SOB_CONSULTA,nao,Peca mais robusta - iluminacao direta na frente da letra,
27,Luminoso Acrilico Face Unica,Luminoso,Acrilico,Iluminacao total/uniforme - face unica,m2,,SOB_CONSULTA,nao,Iluminado por igual em toda extensao,
28,Luminoso Acrilico Dupla Face,Luminoso,Acrilico,Iluminacao total/uniforme - dupla face,m2,,SOB_CONSULTA,nao,Iluminado por igual em toda extensao - visivel dos 2 lados,
29,Luminoso ACM Recortado Face Unica,Luminoso,ACM recortado,Iluminacao localizada - face unica,m2,,SOB_CONSULTA,nao,Luz so no recorte/logo - necessario avaliar a arte antes de orcar,
30,Luminoso ACM Recortado Dupla Face,Luminoso,ACM recortado,Iluminacao localizada - dupla face,m2,,SOB_CONSULTA,nao,Luz so no recorte/logo - necessario avaliar a arte antes de orcar - visivel dos 2 lados,
